"radius_km","site","captured","captured_cum","captured_pct"
20,1,2.53853718936443,2.53853718936443,8.8431497388319
20,2,2.25634349882603,4.79488068819046,16.7032604773923
20,3,1.43860993534327,6.23349062353373,21.7147462761081
20,4,1.50137932598591,7.73486994951963,26.9448930906222
20,5,0.174852665513754,7.90972261503339,27.5540030575158
20,6,0.69110793992877,8.60083055496216,29.9615198841714
20,7,0.535054616630077,9.13588517159224,31.8254154036606
20,8,0.388420518487692,9.52430569007993,33.1785020635733
20,9,0.752796936780214,10.2771026268601,35.8009162881008
20,10,0.80661990866065,11.0837225355208,38.6108261308615
20,11,1.01470033824444,12.0984228737652,42.1455968912558
20,12,0.313464777544141,12.4118876513094,43.2375706379026
20,13,0.918610179796815,13.3304978311062,46.4376054475531
20,14,0.1208784468472,13.4513762779534,46.858692918773
20,15,0.813374858349562,14.2647511363029,49.692134042394
20,16,0.64712275378406,14.911873890087,51.946425779814
20,17,0.516197295859456,15.4280711859465,53.7446306677275
20,18,0.474754400551319,15.9028255864978,55.3984666922042
20,19,0.100654626265168,16.003480212763,55.7491032460818
20,20,0.196297090500593,16.1997773032635,56.4329161805019
20,21,0.103596029803157,16.3033733330667,56.7937992937121
20,22,0.6265200804919,16.9298934135586,58.9763203571763
20,23,0.57931443117559,17.5092078447342,60.9943976507512
20,24,0.795504837296903,18.3047126820311,63.7655874618183
20,25,0.204610493034124,18.5093231750652,64.4783606430101
20,26,0.183689625933766,18.693012800999,65.1182547026315
20,27,0.371498690918088,19.0645114919171,66.4123931400484
20,28,0.0654682982712984,19.1299797901884,66.6404559658306
20,29,0.208131337538362,19.3381111277267,67.3654942244412
20,30,0.160790726542473,19.4989018542692,67.9256185658879
20,31,0.577596068382263,20.0764979226515,69.9377098374535
20,32,0.532776083797216,20.6092740064487,71.7936679483003
20,33,0.672964980825782,21.2822389872745,74.1379826659911
20,34,0.21406287420541,21.4963018614799,74.8836837957812
20,35,0.0956475669518113,21.5919494284317,75.2168779519486
20,36,0.282651570625603,21.8746009990573,76.2015120055407
20,37,0.456241702660918,22.3308427017182,77.7908579133469
20,38,0.276465681381524,22.6073083830997,78.753943042983
20,39,0.228570512495935,22.8358788955957,79.5501824190896
20,40,0.142878076992929,22.9787569725886,80.0479069490033
20,41,0.0683896020054817,23.0471465745941,80.2861463152207
20,42,0.450061029754579,23.4972076043487,81.8539614705028
20,43,0.105333109386265,23.6025407137349,82.2208958068056
20,44,0.202127061784267,23.8046677755192,82.9250178031731
20,45,0.314532590098679,24.1192003656179,84.0207113402379
20,46,0.35442428290844,24.4736246485263,85.2553700318532
20,47,0.0284155905246735,24.502040239051,85.354357481389
20,48,0.0433126548305154,24.5453528938815,85.5052397666111
20,49,0.177261910401285,24.7226148042828,86.1227424855933
20,50,0.462044690735638,25.1846594950184,87.7323034576863
20,51,0.183202936314046,25.3678624313325,88.3705021042164
20,52,0.245477801188827,25.6133402325213,89.2256390557517
20,53,0.261913493275642,25.8752537257969,90.1380307470615
20,54,0.135140185244381,26.0103939110413,90.6087998572626
20,55,0.024331446737051,26.0347253577784,90.693559941834
20,56,0.133143405430019,26.1678687632084,91.157373147285
20,57,0.120172406546772,26.2880411697552,91.5760010838861
20,58,0.259314904920757,26.5473560746759,92.4793404335449
20,59,0.108733694069088,26.656089768745,92.8581209148149
20,60,0.0233030179515481,26.6793927866966,92.9392984047393
20,61,0.212287259288132,26.8916800459847,93.6788140712406
20,62,0.196072300896049,27.0877523468807,94.3618439373089
20,63,0.0679956022650003,27.1557479491457,94.598710781305
20,64,0.0665195817127824,27.2222675308585,94.8304358173278
20,65,0.00966444425284863,27.2319319751114,94.8641025006557
20,66,0.196190702263266,27.4281226773746,95.5475448251367
20,67,0.240989685058594,27.6691123624332,96.387047149316
20,68,0.0329957911744714,27.7021081536077,96.5019900082702
20,69,0.226787583902478,27.9288957375102,97.2920184434493
20,70,0.0316369468346238,27.9605326843448,97.4022276849409
20,71,0.0329241566359997,27.9934568409808,97.516921000594
20,72,0.0275438716635108,28.0210007126443,97.6128717640999
20,73,0.0127940410748124,28.0337947537191,97.6574405895886
20,74,0.0127377482131124,28.0465325019322,97.7018133154466
20,75,0.028225617017597,28.0747581189498,97.8001389806381
20,76,0.111898326314986,28.1866564452648,98.1899436521134
20,77,0.0521311010234058,28.2387875462882,98.3715455346194
20,78,0.0847111367620528,28.3234986830503,98.6666419665614
20,79,0.081420857924968,28.4049195409752,98.9502765107041
20,80,0.0683883246965706,28.4733078656718,99.1885114273377
25,1,3.30682523921132,3.30682523921132,11.5195282042788
25,2,3.56528059020638,6.87210582941771,23.9394014494842
25,3,1.4926123842597,8.36471821367741,29.1390080856777
25,4,0.567528024315834,8.93224623799324,31.1160267092516
25,5,0.216559577733278,9.14880581572652,31.8704252586591
25,6,0.299400251358747,9.44820606708527,32.9134043671402
25,7,1.12281960062683,10.5710256677121,36.824815198401
25,8,0.992629280313849,11.5636549480259,40.2827000770393
25,9,0.248333852738142,11.8119888007641,41.1477862590283
25,10,1.44937253557146,13.2613613363355,46.1967642346544
25,11,1.11739027686417,14.3787516131997,50.0892616841398
25,12,0.781950242817402,15.1607018560171,52.8132332353627
25,13,0.714762214571238,15.8754640705884,55.3031511761336
25,14,0.100654626265168,15.9761186968535,55.6537877300113
25,15,0.12094708904624,16.0970657858998,56.0751143205347
25,16,0.103596029803157,16.2006618157029,56.4359974337449
25,17,0.536101931706071,16.736763747409,58.3035413394305
25,18,0.981997698545456,17.7187614459544,61.7243904519857
25,19,1.05096265673637,18.7697241026908,65.3854832192606
